"id","orgao","remunMedia"
1,"Advocacia-Geral do Estado",6929.77
2,"Agência RMBH",7714.14
3,"Agência RMVA",7385.32
4,"ARSAE",6688.17
5,"Corpo de Bombeiros Militar",6606.3
6,"Controladoria-Geral do Estado",10144.36
7,"DER",7141.16
8,"ESP-MG",5963.22
9,"FAOP",2941.08
10,"FEAM",9379.46
11,"FHEMIG",4145.31
12,"FUCAM",4771.47
13,"Fundação Clóvis Salgado",5472.86
14,"FAPEMIG",6099.7
15,"Fundação Helena Antipoff",1590.87
16,"Fundação Hemominas",6293.57
17,"Fundação João Pinheiro",8262.93
18,"Fundação TV Minas",3452.5
19,"FUNED",5703.93
20,"Gabinete Militar",5275.84
21,"IDENE",4318.35
22,"IEF",7414.58
23,"IEPHA",6193.75
24,"IGAM",8224.48
25,"IMA",6889.27
26,"IPEM",4963.03
27,"IPSEMG",4114.02
28,"IPSM",3024.01
29,"JUCEMG",5953.37
30,"Loteria Mineira",6235.92
31,"Ouvidoria-Geral",4656.61
32,"Polícia Civil",7284.26
33,"Polícia Militar",6333.88
34,"Secretaria de Direitos Humanos",7320.17
35,"Secretaria de Planejamento e Gestão",6518.29
36,"Secretaria de Cultura e Turismo",5553.59
37,"Secretaria da Agricultura",5813.72
38,"Secretaria da Fazenda",17765.27
39,"Secretaria de Desenvolvimento Econômico",7098.84
40,"Secretaria de Educação",4614.03
41,"Secretaria de Desenvolvimento Social",5517.09
42,"Secretaria de Governo",7395.03
43,"Secretaria de Infraestrutura e Mobilidade",7465.62
44,"Secretaria de Justiça e Segurança Pública",4472.06
45,"Secretaria de Saúde",4799.1
46,"Secretaria do Meio Ambiente",7646.84
47,"Secretaria Geral",6928.44
48,"Segurança Pública",1660.39
49,"UEMG",5761.93
50,"UNIMONTES",8266.87
51,"UTRAMIG",4839.7